"work","title"
"http://data.carnegiehall.org/works/71907","Coming In on a Wing and a Prayer"
"http://data.carnegiehall.org/works/74112","Rubber Ducky"
"http://data.carnegiehall.org/works/81604","Brigadoon: Overture"
"http://data.carnegiehall.org/works/84878","Piano Sonata No. 2 (""The Last Resistance"")"
"http://data.carnegiehall.org/works/93324","Dreamland"
"http://data.carnegiehall.org/works/22580","Lullaby of Life"
"http://data.carnegiehall.org/works/34663","Moteti-Cantiones"
"http://data.carnegiehall.org/works/35172","Symphony No. 41 in C Major, K. 551, ""Jupiter"": 1. Allegro vivace"
"http://data.carnegiehall.org/works/40101","3 Nouvelles études: Étude No. 3 in D-flat Major"
"http://data.carnegiehall.org/works/50147","The General's Command (Sichuian Yangqin melody)"
"http://data.carnegiehall.org/works/36352","Totengräberlied"
"http://data.carnegiehall.org/works/52090","String Quartet No. 3, Op. 94"
"http://data.carnegiehall.org/works/108086","Californication"
"http://data.carnegiehall.org/works/5715","Should He Upbriad? (English)"
"http://data.carnegiehall.org/works/18264","Valse et Kermesse de Faust de Gounod"
"http://data.carnegiehall.org/works/40740","Das Echo, D. 990c (D. 868)"
"http://data.carnegiehall.org/works/80384","Zingaresca"
"http://data.carnegiehall.org/works/83123","Villanelle"
"http://data.carnegiehall.org/works/99383","Perpetuoso"
"http://data.carnegiehall.org/works/38942","Serenade for Violin, Viola, and Cello in D Major, Op. 8: 4. Allegretto alla Pollaca"
"http://data.carnegiehall.org/works/46134","Die Fledermaus: Music Box"
"http://data.carnegiehall.org/works/50733","Herr, wie lange"
"http://data.carnegiehall.org/works/58390","Nocturne No. 2"
"http://data.carnegiehall.org/works/61593","Gobi in the Dreams"
"http://data.carnegiehall.org/works/86366","Unto all things a voice is given"
"http://data.carnegiehall.org/works/96691","Pick Up the Pieces"
"http://data.carnegiehall.org/works/19130","Symphony No. 2 in F Minor, Op. 30 (""The Four Seasons"")"
"http://data.carnegiehall.org/works/59548","From Greenland's Icy Mountains"
"http://data.carnegiehall.org/works/10366","Gentle Annie"
"http://data.carnegiehall.org/works/27612","Ebb Tide"
"http://data.carnegiehall.org/works/40767","Den Förstfödde"
"http://data.carnegiehall.org/works/30177","Carmen Jones: Flower Song"
"http://data.carnegiehall.org/works/49625","Over the Skies of Yisrael"
"http://data.carnegiehall.org/works/53513","Guter Mond (German)"
"http://data.carnegiehall.org/works/74396","Le noël des oiseaux"
"http://data.carnegiehall.org/works/93943","Come, ye sons of art away, Z. 323: Sound the Trumpet"
"http://data.carnegiehall.org/works/95282","Lecialy zurawie"
"http://data.carnegiehall.org/works/100622","Perpetuum Mobile"
"http://data.carnegiehall.org/works/114306","Erquan yingyue (The Moon Reflected on the Second Springs)"
"http://data.carnegiehall.org/works/377","Violin Sonata in A Major: 1. Allegro ben moderato"
"http://data.carnegiehall.org/works/3636","4 Canciones Argentinas: 2. Viniendo de chilecito"
"http://data.carnegiehall.org/works/23145","Elegien, BV 249: 2. All' Italia! (In modo napolitano)"
"http://data.carnegiehall.org/works/39751","Ani Ma'amin"
"http://data.carnegiehall.org/works/43422","The Mother of Us All: Excerpts (unspecified)"
